energy_per_nucleon_mev,range_micron,A,Z,Z_material,A_material
2.5,74.83766233766234,4,2,4,9
3.0,100.81168831168831,4,2,4,9
3.5,130.24891774891776,4,2,4,9
4.0,163.0952380952381,4,2,4,9
4.5,199.24242424242425,4,2,4,9
5.0,238.74458874458875,4,2,4,9
5.5,281.43939393939394,4,2,4,9
6.0,327.32683982683983,4,2,4,9
6.5,376.3528138528139,4,2,4,9
7.0,428.51731601731603,4,2,4,9
8.0,542.0454545454546,4,2,4,9
9.0,667.6406926406927,4,2,4,9
10.0,805.1406926406926,4,2,4,9
11.0,954.2748917748918,4,2,4,9
12.0,1114.8809523809525,4,2,4,9
15.0,1663.961038961039,4,2,4,9
20.0,2796.5367965367964,4,2,4,9
25.0,4187.229437229437,4,2,4,9
30.0,5826.298701298701,4,2,4,9
35.0,7702.922077922079,4,2,4,9
40.0,9810.606060606062,4,2,4,9
45.0,12137.445887445889,4,2,4,9
50.0,14686.147186147187,4,2,4,9
55.0,17440.47619047619,4,2,4,9
60.0,20400.4329004329,4,2,4,9
65.0,23560.60606060606,4,2,4,9
70.0,26910.173160173163,4,2,4,9
80.0,34188.31168831169,4,2,4,9
90.0,42191.558441558445,4,2,4,9
100.0,50898.2683982684,4,2,4,9
150.0,104101.7316017316,4,2,4,9
200.0,171726.19047619047,4,2,4,9
250.0,251455.6277056277,4,2,4,9
300.0,341217.5324675325,4,2,4,9
350.0,439702.38095238095,4,2,4,9
400.0,545822.5108225108,4,2,4,9
450.0,657067.0995670996,4,2,4,9
500.0,777532.4675324676,4,2,4,9
2.5,59.2412880458756,4,2,6,12
3.0,79.04719894133216,4,2,6,12
3.5,101.45566828407587,4,2,6,12
4.0,117.60035288928098,4,2,6,12
4.5,153.90383767093073,4,2,6,12
5.0,183.81120423467138,4,2,6,12
5.5,216.18879576532862,4,2,6,12
6.0,249.5809439788266,4,2,6,12
6.5,288.00176444640493,4,2,6,12
7.0,327.437141596824,4,2,6,12
8.0,413.1451257168063,4,2,6,12
9.0,507.8958976621085,4,2,6,12
10.0,611.5130127922364,4,2,6,12
11.0,723.820026466696,4,2,6,12
12.0,844.6846052051169,4,2,6,12
15.0,1257.6091751213057,4,2,6,12
20.0,2104.5434494927217,4,2,6,12
25.0,3149.977944419938,4,2,6,12
30.0,4376.709307454786,4,2,6,12
35.0,5780.767534186149,4,2,6,12
40.0,7357.741508601675,4,2,6,12
45.0,9095.721217468019,4,2,6,12
50.0,10996.912218791354,4,2,6,12
55.0,13052.492280546978,4,2,6,12
60.0,15262.46140273489,4,2,6,12
65.0,17617.997353330393,4,2,6,12
70.0,20119.10013233348,4,2,6,12
80.0,25540.36171151301,4,2,6,12
90.0,31504.190560211733,4,2,6,12
100.0,37984.119982355536,4,2,6,12
150.0,77573.88619320688,4,2,6,12
200.0,127600.35288928098,4,2,6,12
250.0,186197.6179973533,4,2,6,12
300.0,252134.98014997793,4,2,6,12
350.0,324464.0494044993,4,2,6,12
400.0,402382.00264666957,4,2,6,12
450.0,485240.4058226731,4,2,6,12
500.0,572470.2249669166,4,2,6,12
2.5,93.32566168009205,4,2,12,24
3.0,124.62600690448791,4,2,12,24
3.5,160.0115074798619,4,2,12,24
4.0,199.0794016110472,4,2,12,24
4.5,241.88722669735327,4,2,12,24
5.0,288.3199079401611,4,2,12,24
5.5,338.3774453394706,4,2,12,24
6.0,392.00230149597235,4,2,12,24
6.5,449.07940161104716,4,2,12,24
7.0,509.608745684695,4,2,12,24
8.0,640.7940161104718,4,2,12,24
9.0,785.3279631760645,4,2,12,24
10.0,942.8653624856156,4,2,12,24
11.0,1113.176064441887,4,2,12,24
12.0,1296.0874568469503,4,2,12,24
15.0,1918.296892980437,4,2,12,24
20.0,3191.5995397008055,4,2,12,24
25.0,4745.109321058688,4,2,12,24
30.0,6566.168009205984,4,2,12,24
35.0,8643.843498273878,4,2,12,24
40.0,10966.628308400459,4,2,12,24
45.0,13532.796317606444,4,2,12,24
50.0,16323.360184119676,4,2,12,24
55.0,19344.073647871115,4,2,12,24
60.0,22577.675489067893,4,2,12,24
65.0,26029.919447640965,4,2,12,24
70.0,29683.544303797466,4,2,12,24
80.0,37600.69044879171,4,2,12,24
90.0,46288.83774453394,4,2,12,24
100.0,55713.46375143843,4,2,12,24
150.0,113060.98964326811,4,2,12,24
200.0,185316.45569620252,4,2,12,24
250.0,269752.5891829689,4,2,12,24
300.0,364579.97698504024,4,2,12,24
350.0,468446.4902186421,4,2,12,24
400.0,580201.3808975834,4,2,12,24
450.0,698912.5431530494,4,2,12,24
500.0,823780.2071346375,4,2,12,24
2.5,75.08960573476703,4,2,13,27
3.0,100.40322580645162,4,2,13,27
3.5,128.89784946236557,4,2,13,27
4.0,160.3942652329749,4,2,13,27
4.5,194.93727598566306,4,2,13,27
5.0,232.39247311827955,4,2,13,27
5.5,272.71505376344084,4,2,13,27
6.0,315.90501792114696,4,2,13,27
6.5,361.9175627240143,4,2,13,27
7.0,410.66308243727593,4,2,13,27
8.0,516.3530465949821,4,2,13,27
9.0,632.7508960573476,4,2,13,27
10.0,759.5878136200716,4,2,13,27
11.0,896.7293906810036,4,2,13,27
12.0,1043.9964157706092,4,2,13,27
15.0,1544.8028673835124,4,2,13,27
20.0,2568.996415770609,4,2,13,27
25.0,3818.5483870967737,4,2,13,27
30.0,5282.706093189963,4,2,13,27
35.0,6952.5089605734765,4,2,13,27
40.0,8821.68458781362,4,2,13,27
45.0,10878.136200716845,4,2,13,27
50.0,13122.759856630824,4,2,13,27
55.0,15546.594982078852,4,2,13,27
60.0,18149.64157706093,4,2,13,27
65.0,20918.458781362006,4,2,13,27
70.0,23853.04659498208,4,2,13,27
80.0,30206.09318996416,4,2,13,27
90.0,36868.279569892475,4,2,13,27
100.0,44749.10394265233,4,2,13,27
150.0,90757.16845878137,4,2,13,27
200.0,148781.36200716844,4,2,13,27
250.0,216630.82437275985,4,2,13,27
300.0,292840.5017921147,4,2,13,27
350.0,376308.2437275986,4,2,13,27
400.0,466133.51254480286,4,2,13,27
450.0,561554.6594982079,4,2,13,27
500.0,661931.0035842294,4,2,13,27
2.5,71.28755364806867,4,2,14,28
3.0,94.97854077253218,4,2,14,28
3.5,121.58798283261801,4,2,14,28
4.0,151.07296137339057,4,2,14,28
4.5,183.3047210300429,4,2,14,28
5.0,218.28326180257508,4,2,14,28
5.5,255.96566523605148,4,2,14,28
6.0,296.26609442060084,4,2,14,28
6.5,339.1416309012875,4,2,14,28
7.0,384.6351931330472,4,2,14,28
8.0,483.175965665236,4,2,14,28
9.0,591.587982832618,4,2,14,28
10.0,709.7424892703863,4,2,14,28
11.0,837.4678111587982,4,2,14,28
12.0,974.5064377682403,4,2,14,28
15.0,1440.343347639485,4,2,14,28
20.0,2392.703862660944,4,2,14,28
25.0,3553.6480686695277,4,2,14,28
30.0,4913.304721030043,4,2,14,28
35.0,6463.948497854077,4,2,14,28
40.0,8197.424892703862,4,2,14,28
45.0,10107.296137339055,4,2,14,28
50.0,12193.1330472103,4,2,14,28
55.0,14442.060085836909,4,2,14,28
60.0,16854.077253218882,4,2,14,28
65.0,19424.89270386266,4,2,14,28
70.0,22150.21459227468,4,2,14,28
80.0,28042.91845493562,4,2,14,28
