material,Z_material,A_material,Z,A,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10,parameter_11,parameter_12
Silicium,14.0,28.0855,1.,1.,1.391,1.432,0.1042,-0.01066,5.099e-05,4.765e-06,-1.073,0.8721,-0.08156,0.01146,-0.0008426,2.541e-05
Silicium,14.0,28.0855,2.,4.,1.5,1.309,0.1525,-0.01717,-0.0001733,7.908e-05,-1.491,1.3,-0.2416,0.0387,-0.002977,8.796e-05
Silicium,14.0,28.0855,3.,7.,1.422,1.204,0.1551,-0.00719,-0.002743,0.0002918,-1.486,1.333,-0.2494,0.04302,-0.00376,0.0001295
Silicium,14.0,28.0855,4.,9.,1.276,1.108,0.152,0.0008919,-0.003687,0.000277,-1.409,1.336,-0.2209,0.0339,-0.002731,9.003e-05
Silicium,14.0,28.0855,5.,11.,1.181,1.035,0.1479,0.006337,-0.004106,0.000241,-1.372,1.362,-0.2078,0.02803,-0.001972,5.784e-05
Silicium,14.0,28.0855,6.,12.,1.021,0.9891,0.1449,0.008075,-0.003793,0.0001693,-1.224,1.381,-0.218,0.03042,-0.00223,6.847e-05
Silicium,14.0,28.0855,7.,14.,0.9655,0.9506,0.1433,0.01011,-0.003955,0.0001637,-1.197,1.414,-0.2235,0.03028,-0.00212,6.159e-05
Silicium,14.0,28.0855,8.,16.,0.9389,0.9127,0.1405,0.01172,-0.003884,0.0001337,-1.212,1.469,-0.2372,0.03184,-0.002189,6.187e-05
Silicium,14.0,28.0855,9.,19.,0.9875,0.8788,0.135,0.01313,-0.003534,7.016e-05,-1.331,1.549,-0.2517,0.03256,-0.002125,5.614e-05
Silicium,14.0,28.0855,10.,20.,0.9397,0.8475,0.1291,0.01434,-0.003145,5.678e-06,-1.302,1.579,-0.2558,0.03218,-0.001997,4.853e-05
Silicium,14.0,28.0855,11.,23.,0.9941,0.8261,0.1192,0.01567,-0.002557,-8.581e-05,-1.403,1.606,-0.2392,0.02508,-0.001043,5.097e-06
Silicium,14.0,28.0855,12.,24.,0.9579,0.8054,0.1117,0.01678,-0.002139,-0.0001516,-1.365,1.601,-0.2223,0.01905,-0.0002187,-3.415e-05
Silicium,14.0,28.0855,13.,27.,1.003,0.7887,0.1047,0.01762,-0.001737,-0.0002103,-1.452,1.624,-0.2081,0.01281,0.0006433,-7.455e-05
Silicium,14.0,28.0855,14.,28.,0.9735,0.7738,0.09834,0.01825,-0.001364,-0.0002617,-1.418,1.618,-0.193,0.007367,0.001407,-0.0001121
Silicium,14.0,28.0855,15.,31.,1.014,0.7614,0.09228,0.01875,-0.001018,-0.0003073,-1.493,1.632,-0.1772,0.001078,0.002258,-0.000152
Silicium,14.0,28.0855,16.,32.,0.9899,0.7499,0.08683,0.01912,-0.0006911,-0.0003483,-1.465,1.627,-0.1633,-0.004025,0.002991,-0.000189
Silicium,14.0,28.0855,17.,35.,1.027,0.7402,0.08159,0.01943,-0.0003923,-0.0003846,-1.532,1.635,-0.1465,-0.0103,0.003829,-0.0002282
Silicium,14.0,28.0855,18.,40.,1.111,0.7316,0.07667,0.01969,-0.0001171,-0.0004171,-1.676,1.652,-0.126,-0.01765,0.004741,-0.0002674
Silicium,14.0,28.0855,19.,39.,1.042,0.7226,0.07235,0.01986,0.0001421,-0.0004466,-1.571,1.636,-0.1167,-0.02131,0.005362,-0.0003034
Silicium,14.0,28.0855,20.,40.,1.025,0.7144,0.0683,0.01999,0.0003836,-0.0004734,-1.553,1.633,-0.1052,-0.02583,0.006044,-0.0003394
Silicium,14.0,28.0855,21.,45.,1.103,0.7074,0.06434,0.02012,0.0006021,-0.0004972,-1.686,1.644,-0.08344,-0.03323,0.006944,-0.0003776
Silicium,14.0,28.0855,22.,48.,1.13,0.7007,0.06068,0.02021,0.0008074,-0.000519,-1.736,1.643,-0.06583,-0.03931,0.007743,-0.0004149
Silicium,14.0,28.0855,23.,51.,1.156,0.6942,0.05726,0.02029,0.0009954,-0.0005387,-1.784,1.641,-0.04787,-0.04545,0.008549,-0.0004527
Silicium,14.0,28.0855,24.,52.,1.142,0.6878,0.05412,0.02035,0.001172,-0.0005568,-1.768,1.637,-0.03605,-0.05007,0.00925,-0.0004901
Silicium,14.0,28.0855,25.,55.,1.167,0.682,0.05105,0.02041,0.001333,-0.0005731,-1.814,1.633,-0.01736,-0.05635,0.01007,-0.0005288
Silicium,14.0,28.0855,26.,56.,1.155,0.6763,0.04822,0.02045,0.001488,-0.0005885,-1.8,1.629,-0.005685,-0.06096,0.01078,-0.0005668
Silicium,14.0,28.0855,27.,59.,1.178,0.671,0.04547,0.02051,0.001626,-0.0006021,-1.843,1.623,0.01364,-0.06737,0.01162,-0.0006064
Silicium,14.0,28.0855,28.,58.,1.134,0.6656,0.04298,0.02053,0.001759,-0.0006149,-1.778,1.621,0.01768,-0.0703,0.01223,-0.0006454
Silicium,14.0,28.0855,29.,63.,1.191,0.66,0.0407,0.02061,0.001857,-0.0006239,-1.878,1.614,0.0447,-0.07868,0.01323,-0.0006881
Silicium,14.0,28.0855,30.,64.,1.182,0.6553,0.03836,0.02065,0.001972,-0.0006349,-1.867,1.609,0.05674,-0.08343,0.01397,-0.0007283
Silicium,14.0,28.0855,31.,69.,1.232,0.6512,0.03603,0.0207,0.002072,-0.0006442,-1.95,1.592,0.08585,-0.09194,0.01496,-0.0007699
Silicium,14.0,28.0855,32.,74.,1.278,0.6472,0.03382,0.02076,0.002167,-0.000653,-2.025,1.572,0.1154,-0.1005,0.01595,-0.0008114
Silicium,14.0,28.0855,33.,75.,1.269,0.6429,0.03181,0.0208,0.002255,-0.0006609,-2.014,1.565,0.1282,-0.1054,0.01672,-0.000853
Silicium,14.0,28.0855,34.,80.,1.312,0.6392,0.02981,0.02085,0.002333,-0.0006678,-2.081,1.542,0.1588,-0.1141,0.01772,-0.0008951
Silicium,14.0,28.0855,35.,79.,1.28,0.6338,0.02833,0.02094,0.002373,-0.0006705,-2.04,1.546,0.1638,-0.118,0.0185,-0.0009445
Silicium,14.0,28.0855,36.,84.,1.32,0.6305,0.02645,0.02098,0.002446,-0.0006769,-2.102,1.52,0.1948,-0.1266,0.0195,-0.0009857
Silicium,14.0,28.0855,37.,85.,1.312,0.6271,0.02473,0.02102,0.002513,-0.0006825,-2.091,1.512,0.2075,-0.1315,0.02026,-0.001027
Silicium,14.0,28.0855,38.,88.,1.327,0.6239,0.02305,0.02106,0.002573,-0.0006875,-2.114,1.494,0.2296,-0.1383,0.02113,-0.001069
Silicium,14.0,28.0855,39.,89.,1.319,0.6208,0.02147,0.02108,0.002634,-0.0006924,-2.104,1.486,0.2417,-0.143,0.02188,-0.00111
Silicium,14.0,28.0855,40.,90.,1.312,0.6177,0.01997,0.02112,0.002683,-0.0006961,-2.095,1.479,0.254,-0.1479,0.02263,-0.001152
Silicium,14.0,28.0855,41.,93.,1.327,0.6148,0.0185,0.02116,0.002728,-0.0006995,-2.117,1.46,0.276,-0.1546,0.0235,-0.001194
Silicium,14.0,28.0855,42.,98.,1.363,0.6112,0.01723,0.02126,0.002742,-0.0006995,-2.171,1.427,0.3107,-0.1643,0.02465,-0.001243
Silicium,14.0,28.0855,43.,98.,1.345,0.6086,0.01587,0.02128,0.002788,-0.0007028,-2.147,1.426,0.3168,-0.1677,0.02529,-0.001282
Silicium,14.0,28.0855,44.,102.,1.368,0.6064,0.01453,0.0213,0.002827,-0.0007054,-2.178,1.399,0.3434,-0.1751,0.02616,-0.00132
Silicium,14.0,28.0855,45.,103.,1.361,0.604,0.01327,0.02132,0.002863,-0.0007077,-2.168,1.392,0.3543,-0.1795,0.02685,-0.001359
Silicium,14.0,28.0855,46.,106.,1.374,0.6018,0.01206,0.02135,0.002893,-0.0007092,-2.184,1.371,0.3754,-0.1857,0.02765,-0.001397
Silicium,14.0,28.0855,47.,107.,1.367,0.5996,0.0109,0.02137,0.002922,-0.0007107,-2.176,1.364,0.386,-0.1899,0.02832,-0.001435
Silicium,14.0,28.0855,48.,114.,1.415,0.5977,0.009738,0.0214,0.002944,-0.0007114,-2.237,1.312,0.4281,-0.2002,0.02936,-0.001471
